,상호명,상권업종중분류명,상권업종소분류명,도로명주소,역명,거리,역,검색어,naver_map_url
2668,부자식당,중식,중국음식/중국집,서울특별시 영등포구 가마산로 508,7호선 신풍,474.51176006662575,신풍,신풍역 부자식당,
2669,타니아,커피점/카페,커피전문점/카페/다방,서울특별시 서대문구 연세로 12,2호선 신촌,135.34051937990495,신촌,신촌역 타니아,
2670,크라우드,양식,정통양식/경양식,서울특별시 마포구 백범로 71,2호선 신촌,451.0487079762693,신촌,신촌역 크라우드,
2671,간단하지만특별한화피디Cafe,커피점/카페,커피전문점/카페/다방,서울특별시 서대문구 연희로11가길 20,경의중앙 홍대입구,702.3248844520343,홍대입구,홍대입구역 간단하지만특별한화피디Cafe,
2672,아웃백스테이크하우스,양식,패밀리레스토랑,서울특별시 영등포구 국제금융로8길 6,9호선 샛강,324.8943758680964,샛강,샛강역 아웃백스테이크하우스,
2673,보헤미안타운카페,커피점/카페,커피전문점/카페/다방,서울특별시 종로구 북촌로5길 39,3호선 안국,385.729714025593,안국,안국역 보헤미안타운카페,
2674,이다,커피점/카페,커피전문점/카페/다방,서울특별시 강동구 천호대로155길 11,8호선 천호(풍납토성),96.6176589843737,천호,천호역 이다,
2675,넝쿨,분식,라면김밥분식,서울특별시 강서구 등촌로53길 5,9호선 등촌,215.0762265119008,등촌,등촌역 넝쿨,https://pcmap.place.naver.com/restaurant/20840614/review/visitor#
2676,워터스트리트,양식,정통양식/경양식,서울특별시 용산구 회나무로13가길 3-9,4호선 명동,1412.475270531585,명동,명동역 워터스트리트,
2677,깐부치킨강남역,닭/오리요리,후라이드/양념치킨,서울특별시 강남구 강남대로78길 14,2호선 강남,299.15604760015333,강남,강남역 깐부치킨강남역,
2678,7번가피자,패스트푸드,피자전문,서울특별시 중구 마장로1길 28-9,1호선 동대문,241.5427021916904,동대문,동대문역 7번가피자,
